name,hair,feathers,eggs,milk,airborne,acquatic,predator,toothed,backbone,breathes,venomous,fins,no of legs,tail,domestic,target
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,mammal
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,mammal
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,mammal
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,fish
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,mammal
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,bird
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,mollusc
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,mollusc
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,mollusc
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,bird
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,mammal
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,bird
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,bird
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,bird
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,insect
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,amphibian
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,amphibian
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,mammal
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,mammal
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,insect
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,mammal
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,mammal
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,bird
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,fish
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,mammal
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,bird
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,insect
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,insect
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,bird
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,insect
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,bird
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,mollusc
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,mammal
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,insect
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,amphibian
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,mollusc
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,bird
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,bird
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,bird
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,bird
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,reptile
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,mammal
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,mammal
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,mammal
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,mammal
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,mammal
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,bird
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,mollusc
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,fish
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,mammal
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,mammal
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,reptile
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,mollusc
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,bird
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,bird
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,reptile
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,mollusc
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,fish
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,bird
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,mammal
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,mollusc
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,fish
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,bird
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,insect
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,amphibian
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,reptile
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,reptile
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,fish
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,mammal
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,mammal
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,bird
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,mammal
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,insect
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,mammal
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,mollusc
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,bird
